local_name,has_loinc,label_binary,pred_binary,sample_correct,gold_modality,spires_modality,match_modality,gold_anatomy_focus,spires_anatomy_focus,match_anatomy_focus,gold_anatomy_region,spires_anatomy_region,match_anatomy_region,gold_laterality,spires_laterality,match_laterality,gold_contrast,spires_contrast,match_contrast,gold_view,spires_view,match_view,gold_guidance_action,spires_guidance_action,match_guidance_action,gold_guidance_object,spires_guidance_object,match_guidance_object,gold_timing,spires_timing,match_timing,gold_reason,spires_reason,match_reason
1 Level bilateral Transforaminal epidural injection -Cervical,False,0,1,0,,,1,,cervical,0,,neck,0,,bilateral,0,,,1,,,1,,injection,0,,,1,,,1,,,1
Foot & Ankle Rt Lat (DF),True,1,1,0,XR,,0,ankle,ankle,1,lower extremity,lower extremity,1,right,right,1,WO,WO,1,Views,Lateral,0,,,1,,,1,,,1,,,1
Reposition of Ureter stent Lt (INT),True,1,1,0,,,1,ureter,ureter,1,abdomen,abdomen,1,unspecified,left,0,W,,0,,,1,placement,reposition,0,stent,stent,1,,,1,,,1
MRI Thyroid (contrast),True,1,1,0,MR,MR,1,thyroid gland,thyroid gland,1,neck,neck,1,,,1,WO,W,0,,,1,,,1,,,1,,,1,,,1
MRI-Brain-SVD (noncontrast),True,1,1,0,MR,MR,1,brain,brain,1,head,head,1,,,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
Femur Both Lat,True,1,1,0,XR,,0,femur,femur,1,lower extremity,lower extremity,1,bilateral,bilateral,1,WO,,0,view,Lateral,0,,,1,,,1,,,1,,,1
"Myelo-(C+T,T+L)(Musculoskeletal)",True,1,1,0,CT,,0,spine.cervical,,0,neck,musculoskeletal,0,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
SONO Research Gun Biopsy - Breast,True,1,1,0,US,US,1,,breast,0,breast,,0,unspecified,,0,WO,,0,,,1,biopsy,biopsy,1,,,1,,,1,,,1
CT Angio + 3D Pulmonary artery (thoracoabdominal PPVI)(contrast)-(소아),True,1,1,0,CT,CTA,0,chest vessels,pulmonary artery,0,chest,thoracoabdominal,0,,unspecified,0,W,W,1,,3D,0,,,1,,,1,w,,0,,,1
Ped MRI Growth Plate (noncontrast),True,1,1,0,MR,MR,1,,growth plate,0,,unspecified,0,,unspecified,0,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
Defecography,True,1,1,0,RF,,0,rectum,,0,pelvis,,0,,,1,W,,0,view,,0,,,1,,,1,,,1,,,1
PCN tube reposition Rt,False,0,1,0,,,1,,,1,,,1,,right,0,,,1,,,1,,reposition,0,,tube,0,,,1,,,1
Chest Lt Lat,False,0,1,0,,,1,,,1,,chest,0,,left,0,,,1,,Lateral,0,,,1,,,1,,,1,,,1
CT Research PRISM study (noncontrast),True,1,1,0,CT,CT,1,,,1,,,1,,,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
MRI Brain Navigation (contrast) (SEEG),True,1,1,0,MR,MR,1,brain,brain,1,head,head,1,,,1,W,W,1,,,1,stereotactic localization,,0,,,1,w,,0,,,1
CT Rt Lower leg Trauma + 3D (contrast),True,1,1,0,CT,CT,1,lower leg,lower leg,1,lower extremity,lower extremity,1,right,right,1,W,W,1,,3D,0,,,1,,,1,w,,0,,trauma,0
CT Hip Trauma + 3D (noncontrast),True,1,1,0,CT,CT,1,hip,hip,1,lower extremity,lower extremity,1,unspecified,unspecified,1,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,trauma,0
Mammography Lt -SONO Localization 용,True,1,1,0,MG,MG,1,,breast,0,breast,,0,left,left,1,WO,,0,,,1,localization,localization,1,,,1,,,1,,,1
Angioplasty : other central veins,False,0,1,0,,,1,,,1,,,1,,,1,,,1,,,1,,angioplasty,0,,central veins,0,,,1,,,1
PM(PET/MRI)-Chest wall (contrast)MRI,True,1,1,0,MR,PET,0,,chest wall,0,chest,chest,1,,unspecified,0,W,W,1,,,1,,,1,,,1,w,,0,,,1
Ped MRI Brain routine (T2 thin section) (noncontrast),True,1,1,0,MR,MR,1,brain,brain,1,head,head,1,,,1,WO,WO,1,,T2 thin section,0,,,1,,,1,wo,,0,,,1
CT (Metal) Lt Ankle Trauma + 3D (noncontrast),True,1,1,0,CT,CT,1,ankle,ankle,1,lower extremity,lower extremity,1,left,left,1,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,trauma,0
Shoulder Both AP,True,1,1,0,XR,,0,shoulder,shoulder,1,upper extremity,upper extremity,1,bilateral,bilateral,1,WO,,0,view; ap,AP,0,,,1,,,1,,,1,,,1
CT Lower Extremity alignment+3D (noncontrast),True,1,1,0,CT,CT,1,,lower extremity,0,lower extremity,lower extremity,1,unspecified,unspecified,1,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,,1
